"NOME_STRUT","DS_ATS","DS_ASST","COMUNE","PROV","LAT","LONG_","ID_struttura","original","ID_erogatore","check","n","ID_group"
"CENTRO I.R.C.C.S. ""S. MARIA NASCENTE""-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO SPECIALISTICO - IRCCS SANTA MARIA NASCENTE - FOND. DON GNOCCHI)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST SANTI PAOLO E CARLO","MILANO","MI",45.4733586,9.1272537,2892,"POLIAMBULATORIO SPECIALISTICO - IRCCS SANTA MARIA NASCENTE - FOND. DON GNOCCHI",1,TRUE,1,1
"SPEDALI CIVILI DI BRESCIA-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (PRES.POLIAMB.SPEDALI CIVILI BS)","ATS DI BRESCIA","ASST DEGLI SPEDALI CIVILI DI BRESCIA","BRESCIA","BS",45.5555629,10.2323381,2545,"PRES.POLIAMB.SPEDALI CIVILI BS",2,TRUE,1,1
"POLICLINICO ""SAN MATTEO""-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (IRCCS POLICLINICO S.MATTEO)","ATS DI PAVIA","ASST DI PAVIA","PAVIA","PV",45.19614,9.14897,2844,"IRCCS POLICLINICO S.MATTEO",3,TRUE,1,1
"OSPEDALE SAN PAOLO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSP. SAN PAOLO)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST SANTI PAOLO E CARLO","MILANO","MI",45.4334686,9.1580283,3552,"POLIAMBULATORIO OSP. SAN PAOLO",4,TRUE,1,1
"OSPEDALE PAPA GIOVANNI XXIII-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSPEDALE PAPA GIOVANNI XXIII)","ATS DI BERGAMO","ASST PAPA GIOVANNI XXIII","BERGAMO","BG",45.68814,9.63707999,3570,"POLIAMBULATORIO OSPEDALE PAPA GIOVANNI XXIII",5,TRUE,1,1
"STRUTTURA RICOVERO E CURA  DI SONDRIO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSP. SONDRIO)","ATS DELLA MONTAGNA","ASST DELLA VALTELLINA E DELL'ALTO LARIO","SONDRIO","SO",46.17035285,9.8940673,3201,"POLIAMBULATORIO OSP. SONDRIO",6,TRUE,1,1
"OSPEDALE DI RHO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB.OSPEDALE RHO)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST RHODENSE","RHO","MI",45.5332984,9.0325355,2604,"POLIAMB.OSPEDALE RHO",7,TRUE,1,1
"STABILIMENTO OSPEDALIERO DI LEGNANO-POLIAMBULATORIO DI MEDICINA SPORTIVA-1-AMBULATORIO DI MEDICINA SPORTIVA-1 (CENTRO FISIOLOGIA SPORTIVA)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST OVEST MILANESE","LEGNANO","MI",45.58173,8.88889,2531,"CENTRO FISIOLOGIA SPORTIVA",12,TRUE,1,1
"OSPEDALE S. GERARDO DI MONZA-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSPEDALE SAN GERARDO)","ATS DELLA BRIANZA","ASST DI MONZA","MONZA","MB",45.60047,9.25998,3423,"POLIAMBULATORIO OSPEDALE SAN GERARDO",13,TRUE,1,1
"OSPEDALE SAN LEOPOLDO MANDIC  MERATE-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSP.DI MERATE)","ATS DELLA BRIANZA","ASST DI LECCO","MERATE","LC",45.6968439,9.42706712,3284,"POLIAMBULATORIO OSP.DI MERATE",14,TRUE,1,1
"ISTITUTO ORTOPEDICO GAETANO PINI-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (A.O. ISTITUTO ORTOPEDICO GAETANO PINI)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST FATEBENEFRATELLI SACCO","MILANO","MI",45.4553198,9.1929863,3638,"A.O. ISTITUTO ORTOPEDICO GAETANO PINI",15,TRUE,1,1
"PRESIDIO OSPEDALIERO DI CREMONA-RIABILITAZIONE SPECIALISTICA-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. A.O.IST.OSPIT.CREMONA)","ATS DELLA VAL PADANA","ASST DI CREMONA","CREMONA","CR",45.14241,10.01521,2994,"POLIAMB. A.O.IST.OSPIT.CREMONA",16,TRUE,1,1
"PRESIDIO OSPEDALIERO DI GARDONE V.T.-POLIAMBULATORIO-4 (POLIAMBULATORIO DI NAVE)","ATS DI BRESCIA","ASST DEGLI SPEDALI CIVILI DI BRESCIA","NAVE","BS",45.5840638,10.2790514,159,"POLIAMBULATORIO DI NAVE",21,TRUE,1,1
"OSPEDALE ""CADUTI BOLLATESI""-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB.OSPEDALE BOLLATE)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST RHODENSE","BOLLATE","MI",45.54073131,9.11722333,2602,"POLIAMB.OSPEDALE BOLLATE",22,TRUE,1,1
"NUOVO OSPEDALE DI VIMERCATE-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSP.VIMERCATE)","ATS DELLA BRIANZA","ASST DELLA BRIANZA","VIMERCATE","MB",45.60843468,9.35674286,3499,"POLIAMBULATORIO OSP.VIMERCATE",23,TRUE,1,1
"OSPEDALE CARLO MIRA - CASORATE PRIMO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. OSP CASORATE)","ATS DI PAVIA","ASST DI PAVIA","CASORATE PRIMO","PV",45.31227,9.01901,3229,"POLIAMB. OSP CASORATE",27,TRUE,1,1
"PO DI CHIARI (UNICO PO CON STAB ORZINUOVI E ROVATO)-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO CHIARI)","ATS DI BRESCIA","ASST DELLA FRANCIACORTA","CHIARI","BS",45.53889,9.93431,2703,"POLIAMBULATORIO CHIARI",28,TRUE,1,1
